number of episodes,average reward/episode
0,3
0.001,-6.5
0.002,3.333333333
0.003,2.5
0.004,6.6
0.005,5
0.006,4.142857143
0.007,3.125
0.008,2.222222222
0.009,1.9
0.01,-0.545454545
0.011,-1.416666667
0.012,-1.923076923
0.013,-3.071428571
0.014,-3.533333333
0.015,-3.4375
0.016,-4.176470588
0.017,-4.666666667
0.018,-4.421052632
0.019,-5.2
0.02,-4.142857143
0.021,-4.409090909
0.022,-4.304347826
0.023,-4.166666667
0.024,-5
0.025,-5.153846154
0.026,-5.259259259
0.027,-5.821428571
0.028,-5.655172414
0.029,-4.866666667
0.03,-5.516129032
0.031,-5.5625
0.032,-6.151515152
0.033,-6.705882353
0.034,-6.457142857
0.035,-6.333333333
0.036,-6.378378378
0.037,-6.421052632
0.038,-6.230769231
0.039,-6.15
0.04,-6.048780488
0.041,-5.928571429
0.042,-5.860465116
0.043,-5.840909091
0.044,-6.266666667
0.045,-6.673913043
0.046,-6.212765957
0.047,-6.166666667
0.048,-6.183673469
0.049,-5.62
0.05,-5.960784314
0.051,-6.019230769
0.052,-6.169811321
0.053,-6.12962963
0.054,-6.072727273
0.055,-6.410714286
0.056,-6.736842105
0.057,-6.413793103
0.058,-6.728813559
0.059,-6.883333333
0.06,-6.901639344
0.061,-6.951612903
0.062,-6.857142857
0.063,-7.140625
0.064,-6.969230769
0.065,-6.590909091
0.066,-6.776119403
0.067,-6.911764706
0.068,-6.898550725
0.069,-6.985714286
0.07,-7.23943662
0.071,-7.319444444
0.072,-7.273972603
0.073,-7.310810811
0.074,-7.186666667
0.075,-7.118421053
0.076,-7.350649351
0.077,-7.564102564
0.078,-7.506329114
0.079,-7.5
0.08,-7.481481481
0.081,-7.585365854
0.082,-7.614457831
0.083,-7.333333333
0.084,-7.282352941
0.085,-7.127906977
0.086,-7.16091954
0.087,-7.318181818
0.088,-6.97752809
0.089,-6.944444444
0.09,-6.934065934
0.091,-7.130434783
0.092,-7.075268817
0.093,-7.085106383
0.094,-7.105263158
0.095,-7.291666667
0.096,-7.24742268
0.097,-7.428571429
0.098,-7.575757576
0.099,-7.58
0.1,-7.405940594
0.101,-7.382352941
0.102,-7.330097087
0.103,-7.471153846
0.104,-7.638095238
0.105,-7.754716981
0.106,-7.728971963
0.107,-7.888888889
0.108,-7.798165138
0.109,-7.890909091
0.11,-7.900900901
0.111,-7.848214286
0.112,-8
0.113,-7.921052632
0.114,-7.939130435
0.115,-7.681034483
0.116,-7.829059829
0.117,-7.838983051
0.118,-7.840336134
0.119,-7.766666667
0.12,-7.776859504
0.121,-7.606557377
0.122,-7.74796748
0.123,-7.717741935
0.124,-7.68
0.125,-7.817460317
0.126,-7.771653543
0.127,-7.71875
0.128,-7.852713178
0.129,-7.676923077
0.13,-7.641221374
0.131,-7.606060606
0.132,-7.62406015
0.133,-7.589552239
0.134,-7.422222222
0.135,-7.367647059
0.136,-7.343065693
0.137,-7.326086957
0.138,-7.294964029
0.139,-7.292857143
0.14,-7.418439716
0.141,-7.542253521
0.142,-7.552447552
0.143,-7.590277778
0.144,-7.662068966
0.145,-7.630136986
0.146,-7.571428571
0.147,-7.567567568
0.148,-7.55704698
0.149,-7.44
0.15,-7.450331126
0.151,-7.322368421
0.152,-7.163398693
0.153,-7.279220779
0.154,-7.393548387
0.155,-7.448717949
0.156,-7.407643312
0.157,-7.518987342
0.158,-7.496855346
0.159,-7.38125
0.16,-7.322981366
0.161,-7.432098765
0.162,-7.319018405
0.163,-7.37195122
0.164,-7.424242424
0.165,-7.530120482
0.166,-7.628742515
0.167,-7.607142857
0.168,-7.710059172
0.169,-7.558823529
0.17,-7.578947368
0.171,-7.662790698
0.172,-7.710982659
0.173,-7.643678161
0.174,-7.708571429
0.175,-7.642045455
0.176,-7.621468927
0.177,-7.584269663
0.178,-7.446927374
0.179,-7.427777778
0.18,-7.38121547
0.181,-7.357142857
0.182,-7.327868852
0.183,-7.364130435
0.184,-7.362162162
0.185,-7.440860215
0.186,-7.449197861
0.187,-7.5
0.188,-7.465608466
0.189,-7.431578947
0.19,-7.523560209
0.191,-7.369791667
0.192,-7.378238342
0.193,-7.432989691
0.194,-7.466666667
0.195,-7.510204082
0.196,-7.54822335
0.197,-7.555555556
0.198,-7.527638191
0.199,-7.54
0.2,-7.52238806
0.201,-7.53960396
0.202,-7.625615764
0.203,-7.62254902
0.204,-7.590243902
0.205,-7.567961165
0.206,-7.570048309
0.207,-7.591346154
0.208,-7.588516746
0.209,-7.571428571
0.21,-7.440758294
0.211,-7.419811321
0.212,-7.352112676
0.213,-7.341121495
0.214,-7.362790698
0.215,-7.444444444
0.216,-7.33640553
0.217,-7.357798165
0.218,-7.388127854
0.219,-7.281818182
0.22,-7.285067873
0.221,-7.364864865
0.222,-7.31838565
0.223,-7.303571429
0.224,-7.36
0.225,-7.221238938
0.226,-7.233480176
0.227,-7.210526316
0.228,-7.087336245
0.229,-7.069565217
0.23,-7.043290043
0.231,-7.017241379
0.232,-7.017167382
0.233,-6.995726496
0.234,-7.025531915
0.235,-7.101694915
0.236,-7.088607595
0.237,-7.058823529
0.238,-7.046025105
0.239,-6.920833333
0.24,-6.89626556
0.241,-6.768595041
0.242,-6.781893004
0.243,-6.831967213
0.244,-6.824489796
0.245,-6.796747967
0.246,-6.813765182
0.247,-6.794354839
0.248,-6.807228916
0.249,-6.832
0.25,-6.90438247
0.251,-6.892857143
0.252,-6.928853755
0.253,-6.893700787
0.254,-6.874509804
0.255,-6.86328125
0.256,-6.86381323
0.257,-6.744186047
0.258,-6.722007722
0.259,-6.669230769
0.26,-6.651340996
0.261,-6.629770992
0.262,-6.619771863
0.263,-6.617424242
0.264,-6.686792453
0.265,-6.691729323
0.266,-6.707865169
0.267,-6.705223881
